entity,method_cnt,method_post,protocol_1_0,status_major,status_404,status_499,status_cnt,path_same,path_xmlrpc,ua_cnt,has_payload,bytes_avg,bytes_std,cluster_kmeans,cluster_dbscan,pca_1,pca_2,cluster,tsne-2d-one,tsne-2d-two
185.225.74.92,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,3.6412281467166714e-06,0.0,0,0,-0.280028426734192,-0.20805969323322274,1,-40.31187,12.351026
119.48.134.210,0.3333333333333333,0.0,True,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,2,-0.5899068253681834,0.737946966173632,3,-21.095078,39.35136
35.203.211.170,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,0,-0.2800283571061838,-0.20805967507623133,1,-20.541529,-37.20057
216.250.250.148,0.6666666666666666,0.4305555555555556,False,0.0,0.0,False,0.16666666666666666,0.0277777777777777,0.0,0.0,True,3.838989708582295e-06,4.603212407074906e-07,1,0,0.6551215486521966,0.05343703908475178,2,17.88036,-4.5179768
80.76.51.163,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.0760644373879118e-05,0.0,0,0,-0.28002838856988627,-0.2080596832810643,1,-40.565742,-15.925442
172.200.103.29,0.6666666666666666,0.25,False,0.0,0.0,False,0.16666666666666666,0.25,0.0,0.15384615384615385,True,7.87347653366534e-06,1.717523737371206e-06,1,0,0.43715449386060845,-0.009448014134706272,2,18.629452,-7.953901
5.42.72.201,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,0.3333333333333333,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.3443637692731962,-0.001891182234747156,1,9.514171,30.06359
172.104.11.46,0.3333333333333333,0.0,False,0.0,0.0,False,0.16666666666666666,0.25,0.0,0.07692307692307693,True,6.073242468590866e-06,1.0647721282894268e-06,1,0,0.4439713991634671,0.027266889964079444,1,15.618255,21.529211
198.235.24.125,0.3333333333333333,0.0,True,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,2,-0.5899068253681834,0.737946966173632,3,-21.095078,39.35136
119.196.154.6,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,3.6412281467166714e-06,0.0,0,0,-0.280028426734192,-0.20805969323322274,1,-38.20903,15.303014
